Commit,Matched Issue,Issue Link,Similarity Score
[Pipeline] Use temurin 17 distribution for build action #12,Add create story page,https://github.com/SWE574-Fall2023-Group1/SWE574-Fall2023-G1-mobile/issues/56,0.7169029
[CreateStory] Update flutter version in pipeline #56,Add create story page,https://github.com/SWE574-Fall2023-Group1/SWE574-Fall2023-G1-mobile/issues/56,0.7158786
Comment out login pswd validation #83,Create network manager class,https://github.com/SWE574-Fall2023-Group1/SWE574-Fall2023-G1-mobile/issues/4,0.7155407
"[pre-commit.ci] pre-commit autoupdate

updates:
- [github.com/pre-commit/pre-commit-hooks: v4.4.0 → v4.5.0](https://github.com/pre-commit/pre-commit-hooks/compare/v4.4.0...v4.5.0)",Add create story page,https://github.com/SWE574-Fall2023-Group1/SWE574-Fall2023-G1-mobile/issues/56,0.7152979
[Pagination] Add pagination logic on scroll #57,Add create story page,https://github.com/SWE574-Fall2023-Group1/SWE574-Fall2023-G1-mobile/issues/56,0.71482795
[StoryDetail] Implement comment posting #66,Add create story page,https://github.com/SWE574-Fall2023-Group1/SWE574-Fall2023-G1-mobile/issues/56,0.7142965
[StoryDetail] Implement comment posting #66,Add create story page,https://github.com/SWE574-Fall2023-Group1/SWE574-Fall2023-G1-mobile/issues/56,0.7142965
[StoryDetail] Implement comment posting #66,Add create story page,https://github.com/SWE574-Fall2023-Group1/SWE574-Fall2023-G1-mobile/issues/56,0.7142965
[StoryDetail] UI touches to comments widget #71,Add create story page,https://github.com/SWE574-Fall2023-Group1/SWE574-Fall2023-G1-mobile/issues/56,0.71265864
[Register] Add popup and navigation login #23,Add create story page,https://github.com/SWE574-Fall2023-Group1/SWE574-Fall2023-G1-mobile/issues/56,0.71027195
"[Login] Add base response model

Related: #19",Add create story page,https://github.com/SWE574-Fall2023-Group1/SWE574-Fall2023-G1-mobile/issues/56,0.70778716
"[Pipeline] Run workflow when pushed and PR to main

#12",Implement Edit Story Page,https://github.com/SWE574-Fall2023-Group1/SWE574-Fall2023-G1-mobile/issues/98,0.7070516
Make flutter-test.sh executable #68,Add create story page,https://github.com/SWE574-Fall2023-Group1/SWE574-Fall2023-G1-mobile/issues/56,0.705966
[Register] Improve register appbar design #39,Improve register appbar design,https://github.com/SWE574-Fall2023-Group1/SWE574-Fall2023-G1-mobile/issues/39,0.70278007
[Pipeline] Use oracle java distribution for build action #12,Add golden tests for login,https://github.com/SWE574-Fall2023-Group1/SWE574-Fall2023-G1-mobile/issues/7,0.7016664
[BottomBar] Add bottom navigation bar and landing logic #28,Add bottom navigation bar and landing logic,https://github.com/SWE574-Fall2023-Group1/SWE574-Fall2023-G1-mobile/issues/28,0.7012499
